user_id,losses_by_time
Gatotkoco995,36
Agron,22
tempoocioso,42
Pirschei,7
MichaelMBrillantes,10
datajunkie,14
l3ab-idin,26
Sallaia,21
Javpine597,27
alienvspredator,1
HvChessGm,19
mahmoud_abdellatif,23
colorado7683,18
winx_m,9
FaustiOro,23
josmicar,9
alnikgul,37
Hunterrun,3
ping0062,16
pavelarshinn90,31
naive_knight,8
behrad98,19
Ahmet-Tunahan,24
DruzhkovVN,33
lublualiyu,13
Dmorineau,13
iyad2017,1
TolloT,25
Narsil737,18
Koninaleks,23
BWilliams001,20
Josue_Daza,20
KaiSolter,0
darlinchess,27
wcarmona,20
tevydavid,16
syed_nawfel,4
Wladi-71,45
Adrian_Chucua,23
Oleksandr_11,13
ZICK80,19
juanfernando96,15
StephenWilly,12
Taladan,24
anand10m,35
NastyGunz,26
larolarolang,14
khairinasir,39
Blochsky,36
JyGo,10
AnnelizzeRademacher,36
chessknocker7,19
jordy28260,17
custom68,53
gameoftage,21
Juandi2016,16
Gigante64,32
BVB1908,20
mzauber,15
X-Berg,29
MarkG514,27
mrapo9,18
vlh,20
MisterOnua,17
Benbasat,29
JaydenGomes01,11
Chessli_64,23
Lozmeister,19
dArTalgnan,35
Cupid1,15
SchachTeng,18
TrentAllgood,42
Rommel_Sismo-An_06,15
daemonthegoat,19
Andep123,30
Saturn_1119,31
DaRRc,23
Casrem,13
Bakyt83kg,28
AprendizJesus,23
linoarteaga,24
Alirezaaaaaaa7,12
nevermind1991,19
thejc50,10
somzt,19
soultravel,25
Now_Suffer,2
mohamad_reza1391,18
eylooo16,19
ZeruHmyz,30
abedrteezy,13
wiliam21,28
Nabin12,20
haggytheman,11
Temps799,16
Moriarty333333,12
HeKrOmAnT,20
Fernando180317,26
Mirzad_786,2
PraveenGPK1206,7
Joker849,63
Ernest0-0,3
zeytin57,28
Sinerkin,27
GK1963,23
Sys87,27
GodieACT-2,5
Raiden_ShogunC3,29
vania457,26
Rettcar,18
lIlIllllIllllIII,10
pphani,16
stlbucket,17
Kazimierz3377,35
ALONGUS,26
Coopdaddyusa,0
jdwong58,23
Anapher,33
Lew68,20
inaira_jain,3
mah189,36
Darknessbottle,10
itulubela,27
ReluctantCannibal,21
mumbi_githua-5,33
JeremLS,27
Soham0705,18
AitbekM,33
Anon_ym_ous,24
Bjorn2468,6
LaYucaReyChess,29
Eric-SK-Schwandorf,18
TheThirdKing,29
waseemanwar,17
Hamza3335,3
alexeishmidt,14
DrKerfuffle,12
Kusudaaina030,17
rojoril,8
hbas4530,16
Ekvip,17
Zinner_Override,19
chmnm,38
IsmaJS,32
reeva_tagadiya,12
leekenshi,29
gemmita22,6
royinin,21
weekendwoodpusher,20
blindcrocodile,22
hungzhao,25
Iwantogotoswizerland,13
sergeititkov,23
Herkington,27
Blessings03,17
nightfall1941,33
partyofsix,35
raznodel,28
Mcvas25,14
pichibart,41
warrior5191,17
ashi1324,7
SorceressFern3,11
Chewbacca18,22
DelborN,8
castanedastral,39
quiendice75,20
condorcanqui_63,29
jasithchess2021,26
NicolasS1000,9
Litseralex,23
PerroTropical,13
salva_cgu,19
r10385_9,33
ClassPlayer04,19
Gennadiy300iq,14
jamatta,26
Mat-Chucho,16
z2win,31
just4funwhenborred,39
wthimerht,20
Otxariturralde,34
EraserGodzilla,24
Valentin_59,26
ZhohoFF,23
Igrochishkaherov73,32
AKHILDEVIL,34
kitikita123,10
spielbrecher,9
davmaham,43
marcomira,18
blainewilson,22
vvrtixsen,17
ValidAlekhine,25
